,Outer right eye corner_x,Outer right eye corner_y,Upper lip inner middle_y,Upper lip inner middle_x,Outer left eyebrow_x,Outer left eyebrow_y,Outer left eye corner_x,Outer left eye corner_y,Right nose peak_x,Right nose peak_y,Inner left eyebrow_y,Inner left eyebrow_x,Outer right eyebrow_x,Outer right eyebrow_y,Lower lip inner middle_x,Lower lip inner middle_y,Nose tip_y,Nose tip_x,Inner right eyebrow_y,Inner right eyebrow_x,Nose saddle left_x,Nose saddle left_y,Upper lip outer middle_x,Upper lip outer middle_y,Middle right eyebrow_y,Middle right eyebrow_x,Nose saddle right_x,Nose saddle right_y,Inner left eye corner_y,Inner left eye corner_x,Left mouth corner_y,Left mouth corner_x,Inner right eye corner_y,Inner right eye corner_x,Left temple_x,Left temple_y,Right mouth corner_y,Right mouth corner_x,Left nose peak_x,Left nose peak_y,Emotion,Chin middle_y,Chin middle_x,Middle left eyebrow_y,Middle left eyebrow_x,Lower lip outer middle_y,Lower lip outer middle_x,Right temple_x,Right temple_y
27,937.356,505.399,1089.94,586.853,92.3201,439.378,199.795,542.198,723.255,836.91,419.068,422.824,1044.41,429.428,586.853,1093,767.845,578.219,415.615,699.083,494.306,567.881,585.126,1082.09,353.457,895.917,623.112,571.011,533.025,453.903,1068.28,364.119,533.025,692.176,19.1419,484.76,1068.28,785.414,431.701,745.809,5,1389.43,574.766,356.91,236.349,1098.18,586.853,1157.08,450.752
28,950.442,521.91,1069.68,595.406,98.9101,442.673,184.579,534.932,734.04,816.083,403.565,422.96,1031.59,406.946,598.788,1086.59,765.363,588.644,410.327,710.371,520.665,567.881,592.025,1035.87,349.464,882.817,619.076,569.248,532.054,453.392,1079.82,443.248,525.291,703.608,13.3033,487.276,1073.06,761.09,448.176,788.644,18,1367.23,602.169,352.845,230.227,1140.69,608.932,1166.23,450.084
29,932.536,495.392,973.162,596.45,94.9101,344.514,184.579,541.522,718.363,765.579,426.198,411.932,1008.32,403.133,596.45,992.932,749.104,570.09,416.313,685.414,510.176,466.284,596.45,943.507,350.414,850.162,606.335,561.291,521.752,428.406,999.522,418.522,498.687,672.234,6.74119,469.821,986.342,790.853,432.119,706.701,21,1315.84,616.219,366.888,227.414,1022.59,596.45,1151.32,434.133
30,922.651,492.097,1006.11,596.45,59.9101,324.277,179.212,425.694,728.248,788.644,396.543,398.752,1018.21,406.428,599.745,1022.59,722.745,579.975,396.543,692.004,463.939,464.133,583.27,969.867,333.939,873.227,622.809,564.586,531.637,438.291,1052.24,388.867,515.162,675.529,6.78571,470.767,1032.47,800.737,439.478,684.716,20,1309.25,596.45,347.119,191.169,1072.01,603.04,1148.95,442.971
31,919.198,403.838,925.263,578.867,83.4137,553.032,204.371,424.86,713.126,709.824,303.924,422.752,1031.6,319.536,578.867,953.363,638.011,575.745,313.291,669.414,523.004,496.011,581.989,887.795,241.478,875.486,613.212,466.284,425.694,432.119,956.486,360.306,416.327,675.658,25.5148,482.378,953.363,781.817,416.608,936.385,1,1218.76,560.133,225.867,222.924,981.464,578.867,1172.18,442.47
32,905.263,386.435,924.104,541.637,72.6871,311.299,169.399,653.349,681.493,715.874,308.737,370.701,982.96,286.982,547.853,939.644,656.824,510.558,296.306,641.09,495.428,696.342,541.637,905.457,221.716,821.349,566.5,457.917,424.86,445.665,970.723,367.594,411.299,647.306,3.78571,473.294,948.968,771.622,389.234,694.32,1,1247.33,563.392,262.119,168.687,976.939,550.96,1156.05,420.229
33,918.975,397.018,922.917,594.155,101.888,334.975,170.817,425.255,727.176,690.903,294.932,445.665,1027.25,282.558,594.155,938.385,641.406,584.874,288.745,693.147,487.363,466.406,578.687,888.888,214.5,888.04,618.903,489.824,653.349,413.025,956.946,393.076,412.486,693.147,48.5853,472.37,947.665,779.766,451.025,708.399,49,1229.18,594.155,233.061,219.838,981.694,594.155,1195.71,439.231
34,914.608,613.939,1151.35,563.5,81.4928,342.665,202.076,426.054,696.061,918.471,531.536,387.946,1000.17,295.471,567.083,1172.85,861.147,545.586,513.622,685.313,532.996,508.025,552.752,1108.36,216.335,841.896,581.414,689.176,422.09,398.73,1180.01,373.615,624.687,660.234,14.5,473.929,1165.68,767.716,432.284,720.91,51,1437.97,567.083,474.212,190.896,1212.26,567.083,1156.21,425.071
35,902.04,393.601,951.277,596.752,108.601,342.176,182.155,434.176,680.457,700.651,304.968,360.745,1046.08,301.579,599.788,966.457,650.004,538.011,304.968,648.802,490.241,470.781,593.716,923.953,253.004,912.493,582.327,466.406,441.234,447.989,957.349,411.558,409.428,658.299,41.0714,471.357,951.277,797.126,473.723,686.349,52,1230.59,608.896,235.327,180.313,1012,602.824,1187.93,425.071
36,939.817,413.91,937.486,575.651,98.2194,353.701,219.335,422.982,727.299,720.543,328.903,441.917,1017.95,296.91,575.651,955.788,708.399,590.68,331.939,696.939,560.514,443.932,566.5,910.032,232.853,837.982,630.147,504.989,428.076,413.982,958.838,380.428,444.27,699.975,41.6837,461.133,955.788,776.975,447.975,641.212,50,1233.37,575.651,246.932,235.471,1001.54,578.701,1178.01,407.255
37,911.191,397.572,901.831,617.378,69.2986,415.313,198.996,430.766,706.817,723.96,315.212,395.68,1036.37,303.27,620.371,913.802,659.903,557.349,321.313,673.263,530.968,415.946,605.406,859.932,210.493,916.658,603.104,470.781,416.996,470.73,946.723,416.86,421.975,676.313,4.94898,461.133,931.759,802.932,422.824,802.507,46,1195.13,593.435,245.054,209.608,958.694,617.378,1163.32,409.704
38,946.586,393.054,833.874,599.14,98.6367,429.004,170.306,546.622,758.04,677.371,285.313,449.781,1008.18,297.385,596.176,851.658,596.565,608.399,285.313,725.119,506.996,587.025,584.32,789.414,202.536,895.543,644.313,443.932,412.982,433.155,899.083,400.55,399.04,707.162,14.7449,492.969,890.191,788.838,444.853,785.018,45,1165.85,584.32,228.45,240.284,887.227,596.176,1165.77,404.806
39,910.363,395.198,1044.92,570.968,111.881,424.752,199.888,549.853,717.701,635.284,282.565,418.335,1012.03,374.91,570.968,1068.49,534.507,587.284,273.673,676.205,523.241,559.651,567.601,1021.36,290.737,900.924,619.888,415.946,543.255,422.824,1071.86,385.788,395.198,685.097,14.0046,399.841,1058.39,776.349,456.054,808.637,44,1334.48,570.968,232.176,219.745,1108.9,577.701,1187.38,407.055
40,914.392,506.219,1023.45,595.097,100.147,450.414,204.543,540.579,709.011,805.874,385.011,389.155,1042.56,409.406,598.363,1039.78,792.406,550.766,385.011,675.342,528.86,580.291,598.363,994.054,340.817,908.651,597.903,583.658,520.457,451.385,1029.98,389.327,519.687,678.709,3.23469,464.216,1007.12,804.133,432.047,815.838,43,1294.54,604.896,297.471,197.241,1092.04,598.363,1163.21,449.656
41,934.781,507.392,1036.98,604.975,749.845,349.198,194.018,537.579,745.342,785.018,393.076,418.723,1038.5,404.896,611.594,1063.46,762.155,585.299,412.673,712.68,515.86,554.342,604.975,1000.58,355.255,902.817,631.025,559.651,517.414,452.745,1036.98,409.723,507.392,693.083,37.4481,487.287,1027.05,816.773,1133.38,735.96,22,1328.21,614.903,344.083,219.486,1089.93,611.594,1144.59,455.016
42,949.147,504.176,1037.1,582.91,814.917,318.234,817.529,439.442,734.04,818.565,418.133,429.579,1018.74,420.241,582.91,1060.57,765.615,585.119,421.442,677.781,1226.85,471.673,572.853,1000.23,366.601,841.054,631.45,580.291,527.522,428.694,1057.22,388.464,510.795,700.946,39.9304,484.804,1050.51,774.004,958.572,722.263,26,1338.83,582.91,351.946,257.493,1110.86,586.263,1137.14,457.498
43,911.457,507.406,955.126,1288.09,9.35612,426.198,802.946,416.996,717.011,812.486,420.241,442.104,908.881,413.018,1278.42,968.018,745.435,569.5,426.946,660.018,982.514,434.953,1288.09,916.45,271.845,1371.89,616.435,554.342,442.665,1020.58,997.025,1065.7,514.112,673.428,19.8154,457.916,1048.95,661.759,292.723,811.709,25,1251.64,1268.75,380.011,244.306,1000.25,1284.87,1178.83,410.962
44,819.917,495.392,913.802,1006.46,58.241,445.09,111.5,551.406,556.32,805.119,300.853,1091.49,837.716,413.536,997.478,928.766,661.831,1391.23,323.414,1249.41,361.917,571.176,1033.39,874.896,343.824,724.363,460.766,564.586,534.932,319.083,946.723,916.673,511.867,566.205,1.65955,486.825,1037.1,586.277,342.586,791.853,23,1180.16,976.529,236.392,904.55,970.665,1012.44,1157.58,457.927
45,733.788,517.464,1035.77,440.996,107.478,491.263,59.9317,544.284,472.291,789.018,279.327,952.586,764.996,418.133,437.701,1055.54,653.428,1141.13,403.133,529.96,287.903,547.637,424.522,992.932,339.781,660.032,368.363,550.989,534.227,264.435,1062.13,279.543,524.169,499.112,17.1772,467.428,1043.6,490.32,400.068,826.155,41,1315.84,447.586,231.442,904.701,1101.67,437.701,1171.48,450.051
46,695.5,507.486,1033.75,324.781,170.09,382.932,70.0324,527.342,387.73,785.471,426.198,286.133,605.565,294.558,324.781,1050.51,749.104,368.507,416.888,462.234,429.277,562.989,314.723,983.464,328.781,622.694,308.306,517.414,510.975,356.457,1050.51,190.68,510.795,434.061,3.29592,488.071,972.097,358.903,497.371,784.011,42,1325.42,321.428,357.004,104.91,1094.1,331.486,1161.66,448.888
47,543.119,403.838,1003.89,228.881,151.558,401.752,134.529,504.04,249.622,716.068,430.299,240.968,355.428,285.975,232.191,1023.74,732.025,247.673,394.968,410.896,498.773,604.068,222.263,957.558,225.867,430.716,193.421,441.306,540.615,403.594,1031.12,332.183,422.572,337.047,467.982,514.873,979.212,228.809,472.723,757.896,36,1331.51,218.953,363.248,33.1115,1070.08,232.191,1175.51,413.285
48,364.924,403.097,950.241,137.219,138.45,411.86,185.032,522.989,184.493,729.14,394.968,202.406,897.406,424.284,127.853,962.73,709.356,149.457,300.802,255.867,587.212,540.155,102.874,900.284,219.5,225.644,178.162,415.759,446.514,224.054,1062.34,329.565,500.572,599.191,586.916,485.656,1041.52,644.27,464.09,765.817,37,1228.13,146.586,338.709,43.5576,1006.44,130.975,1137.52,447.904
49,831.522,493.637,931.73,127.514,95.0108,462.881,94.4424,508.385,602.658,798.788,316.414,124.73,971.147,473.637,130.68,947.558,644.255,9.20504,389.608,585.32,539.5,525.766,99.0252,874.752,361.867,744.831,505.565,556.054,508.385,270.27,982.946,375.442,547.665,671.507,22.0899,429.231,1076.44,720.86,410.435,775.054,38,1235.62,156.004,361.867,190.011,995.04,114.853,1103.82,431.953
50,879.493,547.665,1003.38,470.888,157.248,386.371,259.932,431.061,671.507,836.73,393.076,370.327,709.737,372.27,477.824,1072.73,627.845,4.06115,441.91,667.982,552.579,521.586,460.486,944.428,417.234,823.09,593.953,604.068,447.104,458.867,970.946,386.867,449.608,437.507,3.52128,458.628,975.507,530.313,477.752,758.673,39,1374.41,484.759,399.608,255.536,1124.74,477.824,985.131,462.991
51,638.586,465.076,1041.19,519.924,158.723,351.464,221.514,439.91,415.853,765.147,434.86,442.371,811.277,444.14,512.874,1129.32,750.241,453.55,356.802,375.637,517.745,557.183,516.399,1005.94,332.054,548.874,301.392,502.198,452.629,437.745,1006.51,379.14,515.147,506.96,6.37621,473.21,1042.63,510.342,512.421,771.047,40,1425.44,512.874,316.586,29.1619,1182.2,512.874,776.111,466.711
52,730.126,521.91,966.227,289.018,70.2626,454.284,216.32,447.255,432.572,782.27,359.896,193.119,1004.33,392.558,289.018,981.694,790.903,537.55,386.658,459.622,571.637,509.392,270.457,935.291,362.989,635.45,364.946,542.198,468.493,446.392,950.651,306.378,459.939,741.227,5.24397,521.383,995.781,831.068,381.342,765.363,28,1250.83,344.701,362.989,107.968,1031.19,276.644,941.756,495.224
53,949.788,456.73,988.529,260.126,75.3417,444.018,192.565,475.888,741.227,806.471,393.421,287.176,987.86,382.673,263.507,1002.05,762.054,186.932,389.349,725.183,602.579,517.91,253.363,947.953,350.845,875.989,683.471,546.572,475.888,413.687,965.867,383.867,439.91,708.032,4.54824,526.615,961.406,790.709,373.874,781.917,27,1292.85,233.076,350.845,336.939,1042.63,239.838,975.068,495.224
54,911.543,427.191,998.989,612.881,86.5,461.068,231.709,441.406,723.932,735.637,373.306,516.622,991.486,394.162,609.673,1011.82,718.025,216.169,389.032,704.853,459.112,535.435,612.881,970.112,341.335,870.205,638.076,525.766,444.644,468.04,1034.59,425.73,464.953,704.781,9.60761,540.001,1020.67,803.888,399.536,796.464,47,1297.39,596.838,357.234,285.112,1050.33,609.673,930.212,527.316
55,938.392,447.255,951.867,587.198,79.1187,436.572,252.349,445.09,736.637,776.435,389.032,472.723,982.752,410.853,596.737,1034.54,758.342,651.385,351.687,680.004,452.608,542.435,580.838,923.248,337.529,860.522,648.147,525.126,462.428,481.212,1005.44,344.147,475.888,673.831,2.77829,512.433,937.644,810.406,384.903,785.565,48,1269.85,596.737,341.068,304.809,1098.14,593.558,900.825,533.94
56,891.701,456.378,981.73,587.975,71.1906,461.831,144.651,491.478,703.097,768.55,348.147,503.025,1002.21,415.507,584.435,1084.38,770.615,615.817,391.342,651.068,476.198,547.313,584.435,942.795,345.817,849.428,608.795,553.932,488.097,381.342,968.91,291.86,447.881,720.558,3.12338,514.804,978.817,814.442,364.946,798.982,34,1388.78,573.817,365.327,228.335,1126.85,587.975,978.602,581.678
57,934.227,460.831,963.658,550.263,65.0396,466.356,160.637,476.824,743.219,774.86,388.09,436.45,1039.5,365.335,556.766,1041.7,723.342,609.212,298.96,714.083,474.644,556.227,547.011,937.644,341.047,875.953,665.522,509.392,489.946,364.032,1020.06,377.176,469.363,741.284,8.48887,528.858,1062.33,803.701,363.442,806.471,35,1318.1,573.025,328.097,328.831,1100.23,563.27,952.381,436.17
58,966.68,472.831,962.629,597.536,52.9892,440.119,163.162,508.982,765.558,805.723,305.435,519.838,949.399,403.565,597.536,978.817,758.795,556.766,292.514,734.349,455.076,551.96,597.536,930.255,264.773,918.133,692.737,521.378,499.399,380.371,971.694,295.162,471.191,634.939,11.2607,536.934,1015.58,732.996,326.14,791.313,32,1292.85,581.349,247.435,318.234,1024.14,604.011,933.647,463.409
59,875.011,450.903,1006.85,616.45,100.442,459.838,162.212,479.781,682.277,748.457,292.514,529.759,925.011,414.493,619.917,1135.15,729.536,629.91,400.183,607.888,437.241,540.155,619.917,965.234,335.939,790.478,553.788,525.291,483.104,378.255,949.198,274.817,483.385,633.04,-0.371985,529.231,955.788,767.543,416.198,802.183,30,1409.09,585.241,369.752,212.277,1187.16,619.917,964.749,513.096
60,852.838,470.263,961.478,526.737,58.9892,469.385,144.629,488.536,642.881,772.076,410.327,408.392,932.975,409.96,530.119,1039.25,746.773,661.529,384.968,613.356,413.939,537.673,523.356,927.665,352.162,783.946,544.464,539.155,488.536,378.299,995.781,302.478,496.205,642.299,6.60204,528.847,952.982,792.428,387.421,807.572,33,1343.56,536.881,368.565,203.284,1069.68,536.881,934.704,509.628
61,865.896,470.651,982.032,501.817,47.6942,460.421,135.629,501.651,677.435,786.881,391.529,383.716,933.32,390.04,505.097,1024.68,738.313,513.212,400.378,594.385,499.291,549.579,498.536,945.946,358.853,766.874,556.054,540.924,498.442,363.442,1025.44,287.119,479.781,650.802,14.5,533.038,978.342,760.486,349.507,791.759,31,1326.49,518.219,384.406,214.27,1070.61,511.658,912.596,463.832
62,873.493,459.838,994.507,552.86,63.8381,461.831,134.284,479.14,664.097,798.86,400.378,415.507,935.766,418.435,556.054,1032.84,762.234,495.255,396.687,617.565,455.709,544.176,552.86,962.565,346.831,793.723,564.385,549.579,492.147,342.399,988.313,343.076,485.198,635.335,7.65955,546.446,922.493,802.241,394.313,808.996,,1307.54,584.802,366.773,208.745,1080.75,559.248,973.704,539.622
